customer_id,age,Gender,city,locality,employment,annual_salary,existing_loans,cibil_score,is_eligible,age_band,recalculated_Eligibility,salary_band,cibil_band
1,59,F,Chennai,Semi-Urban,Salaried,812493,2,683,N,35-60,N,High,Average
2,49,M,Chennai,Urban,Salaried,1776106,4,862,Y,35-60,Y,High,Good
3,23,F,Delhi,Urban,Student,15918,0,514,N,18-25,N,Low,Poor
4,63,F,Pune,Urban,Retired,16657,2,882,N,60+,N,Low,Good
5,19,F,Hyderabad,Urban,Student,4121,0,553,N,18-25,N,Low,Poor
6,20,M,Pune,Semi-Urban,Student,2143,1,492,N,18-25,N,Low,Poor
7,59,F,Hyderabad,Urban,Salaried,636,0,609,N,35-60,N,Low,Poor
8,39,M,Pune,Urban,Salaried,4787,1,900,N,35-60,N,Low,Good
9,23,F,Pune,Semi-Urban,Student,6751,0,478,N,18-25,N,Low,Poor
10,31,M,Bangalore,Semi-Urban,Self-Employed,8609,0,900,N,25-35,N,Low,Good
11,31,M,Chennai,Semi-Urban,Salaried,6934,0,647,N,25-35,N,Low,Poor
12,44,F,Pune,Urban,Salaried,5943,1,629,N,35-60,N,Low,Poor
13,56,F,Delhi,Urban,Salaried,306,4,649,N,35-60,N,Low,Poor
14,22,M,Pune,Urban,Student,18507,0,479,N,18-25,N,Low,Poor
15,44,M,Mumbai,Urban,Self-Employed,17267,4,731,N,35-60,N,Low,Average
16,23,F,Chennai,Semi-Urban,Self-Employed,792,2,608,N,18-25,N,Low,Poor
17,42,M,Mumbai,Semi-Urban,Salaried,4157,0,763,N,35-60,N,Low,Good
18,22,F,Chennai,Semi-Urban,Salaried,12768,2,650,N,18-25,N,Low,Average
19,18,F,Mumbai,Semi-Urban,Student,3618,1,485,N,18-25,N,Low,Poor
20,64,F,Pune,Urban,Retired,8235,2,548,N,60+,N,Low,Poor
21,50,F,Pune,Semi-Urban,Salaried,6744,4,765,N,35-60,N,Low,Good
22,58,M,Bangalore,Urban,Salaried,7937,2,702,N,35-60,N,Low,Average
23,22,F,Delhi,Urban,Self-Employed,6596,3,844,N,18-25,N,Low,Good
24,19,M,Mumbai,Urban,Student,17968,1,560,N,18-25,N,Low,Poor
25,53,F,Hyderabad,Urban,Salaried,16659,3,671,N,35-60,N,Low,Average
26,32,M,Bangalore,Urban,Salaried,17911,4,694,N,25-35,N,Low,Average
27,42,F,Mumbai,Rural,Salaried,1300460,3,713,N,35-60,N,High,Average
28,64,M,Mumbai,Urban,Retired,10081,0,551,N,60+,N,Low,Poor
29,45,M,Bangalore,Urban,Salaried,8251,3,764,N,35-60,N,Low,Good
30,47,F,Pune,Urban,Salaried,12672,2,663,N,35-60,N,Low,Average
31,62,F,Mumbai,Semi-Urban,Retired,2154,2,689,N,60+,N,Low,Average
32,18,F,Pune,Urban,Student,10876,0,553,N,18-25,N,Low,Poor
33,36,F,Bangalore,Semi-Urban,Salaried,19040,4,747,N,35-60,N,Low,Average
34,35,M,Pune,Urban,Salaried,11252,2,875,N,35-60,N,Low,Good
35,64,F,Chennai,Semi-Urban,Retired,19869,4,752,N,60+,N,Low,Good
36,23,M,Hyderabad,Urban,Self-Employed,9666,4,890,N,18-25,N,Low,Good
37,57,M,Mumbai,Semi-Urban,Salaried,5966,3,698,N,35-60,N,Low,Average
38,23,F,Delhi,Semi-Urban,Student,17531,1,539,N,18-25,N,Low,Poor
39,41,M,Hyderabad,Urban,Salaried,11204,3,700,N,35-60,N,Low,Average
40,29,M,Pune,Urban,Salaried,1000033,3,731,N,25-35,N,High,Average
41,59,M,Mumbai,Urban,Salaried,6952,4,680,N,35-60,N,Low,Average
42,38,M,Pune,Urban,Self-Employed,17767,4,585,N,35-60,N,Low,Poor
43,24,F,Chennai,Urban,Salaried,1297,2,651,N,18-25,N,Low,Average
44,20,F,Bangalore,Semi-Urban,Student,9732,0,497,N,18-25,N,Low,Poor
45,34,F,Mumbai,Urban,Self-Employed,16752,3,820,N,25-35,N,Low,Good
46,29,F,Chennai,Urban,Salaried,7492,1,683,N,25-35,N,Low,Average
47,46,M,Chennai,Urban,Self-Employed,8107,1,697,N,35-60,N,Low,Average
48,22,M,Mumbai,Urban,Self-Employed,17687,2,736,N,18-25,N,Low,Average
49,40,F,Pune,Rural,Salaried,17082,1,805,N,35-60,N,Low,Good
50,48,F,Delhi,Urban,Salaried,14656,2,603,N,35-60,N,Low,Poor
51,25,F,Chennai,Semi-Urban,Student,2581,1,516,N,25-35,N,Low,Poor
52,64,M,Hyderabad,Semi-Urban,Retired,19711,3,766,N,60+,N,Low,Good
53,28,F,Chennai,Semi-Urban,Self-Employed,7014,0,701,N,25-35,N,Low,Average
54,55,F,Delhi,Rural,Unemployed,11889,3,470,N,35-60,N,Low,Poor
55,34,F,Pune,Urban,Salaried,19967,2,740,N,25-35,N,Low,Average
56,37,M,Pune,Rural,Self-Employed,76,2,900,N,35-60,N,Low,Good
57,56,M,Hyderabad,Urban,Salaried,18739,3,795,N,35-60,N,Low,Good
58,60,M,Chennai,Urban,Salaried,10587,2,866,N,60+,N,Low,Good
59,24,M,Pune,Semi-Urban,Salaried,5567,1,615,N,18-25,N,Low,Poor
