transaction_id,customer_id,Card Type,Card Type2,Card Limit,card_id,purchase_date,purchase_amount,merchant_category,Payment_status,Applied_but_rejected,Rejection_reason
1,655,NA,NA,,,,,,,Y,Low Salary
2,26,NA,NA,,,,,,,Y,High Debt
3,251,Silver,Silver,50000,2,22-02-2023,1345,Fuel,Paid,N,
4,90,NA,NA,,,,,,,Y,Unstable Employment
5,33,Silver,Silver,50000,2,30-04-2023,34432,Fuel,Default,N,
6,617,Silver,Silver,50000,2,29-11-2023,46222,Fuel,Paid,N,
7,430,NA,NA,,,,,,,Y,Low CIBIL
8,460,Silver,Silver,50000,2,04-01-2023,39172,Travel,Paid,N,
9,715,NA,NA,,,,,,,Y,Unstable Employment
10,349,NA,NA,,,,,,,Y,High Debt
11,160,Silver,Silver,50000,2,22-06-2023,14231,Groceries,Paid,N,
12,95,Gold,Gold,100000,3,26-06-2023,33622,Fuel,Paid,N,
13,271,NA,NA,,,,,,,Y,Low Salary
14,748,Gold,Gold,100000,3,13-07-2023,36085,Groceries,Paid,N,
15,566,NA,NA,,,,,,,Y,High Debt
16,850,Silver,Silver,50000,2,27-12-2023,4332,Groceries,Paid,N,
17,47,NA,NA,,,,,,,Y,Low CIBIL
18,792,Platinum,Platinum,300000,4,30-04-2023,32832,Groceries,Paid,N,
19,390,NA,NA,,,,,,,Y,High Debt
20,465,NA,NA,,,,,,,Y,High Debt
21,167,NA,NA,,,,,,,Y,High Debt
22,364,Silver,Silver,50000,2,26-12-2023,12967,Groceries,Paid,N,
23,624,Silver,Silver,50000,2,06-05-2023,41525,Travel,Paid,N,
24,474,NA,NA,,,,,,,Y,Unstable Employment
25,277,NA,NA,,,,,,,Y,Low CIBIL
26,702,NA,NA,,,,,,,Y,High Debt
27,864,NA,NA,,,,,,,Y,Low Salary
28,235,Gold,Gold,100000,3,25-07-2023,13607,Dining,Paid,N,
29,68,NA,NA,,,,,,,Y,Low CIBIL
30,581,NA,NA,,,,,,,Y,High Debt
31,218,NA,NA,,,,,,,Y,Unstable Employment
32,406,Platinum,Platinum,300000,4,13-03-2023,12958,Travel,Paid,N,
