Transaction_id,customer_id,Card_Type,Card_Limit,card_id,purchase_date,purchase_amount,merchant_category,Payment_status,Applied_but_rejected,Rejection_reason
47,1,,,,,,,,Y,HighDebt
1542,1,,,,,,,,Y,LowCIBIL
1872,1,,,,,,,,Y,HighDebt
904,2,Gold,100000,2,09-03-202300:00:00,14533,Fuel,Paid,N,
235,3,,,,,,,,Y,UnstableEmployment
1245,3,,,,,,,,Y,HighDebt
43,4,Platinum,300000,3,02-04-202300:00:00,29613,Fuel,Paid,N,
1755,4,Platinum,300000,3,12-09-202300:00:00,28126,Electronics,Default,N,
1956,4,Platinum,300000,3,26-07-202300:00:00,35340,Groceries,Paid,N,
1819,5,,,,,,,,Y,HighDebt
783,6,,,,,,,,Y,HighDebt
1294,6,,,,,,,,Y,HighDebt
1137,8,Signature,600000,4,01-11-202300:00:00,24751,Fuel,Paid,N,
1890,8,Signature,600000,4,02-05-202300:00:00,42549,Fuel,Paid,N,
1990,8,Platinum,300000,3,28-12-202300:00:00,28674,Fuel,Paid,N,
99,9,,,,,,,,Y,HighDebt
109,10,Platinum,300000,3,20-12-202300:00:00,3285,Travel,Paid,N,
653,10,Signature,600000,4,24-02-202300:00:00,48834,Dining,Paid,N,
1583,10,Platinum,300000,3,20-12-202300:00:00,49140,Electronics,Paid,N,
1228,12,,,,,,,,Y,LowCIBIL
1334,12,,,,,,,,Y,LowCIBIL
1789,12,,,,,,,,Y,LowCIBIL
192,13,,,,,,,,Y,UnstableEmployment
997,13,,,,,,,,Y,LowSalary
1285,14,,,,,,,,Y,HighDebt
1614,14,,,,,,,,Y,LowCIBIL
660,15,Platinum,300000,3,18-10-202300:00:00,15596,Travel,Paid,N,
933,15,Platinum,300000,3,31-01-202300:00:00,29983,Electronics,Paid,N,
1674,15,Platinum,300000,3,26-02-202300:00:00,23498,Dining,Paid,N,
1910,15,Gold,100000,2,30-10-202300:00:00,42584,Travel,Paid,N,
1977,15,Gold,100000,2,07-06-202300:00:00,46814,Groceries,Paid,N,
752,17,Gold,100000,2,30-07-202300:00:00,1632,Groceries,Paid,N,
894,17,Gold,100000,2,22-03-202300:00:00,21041,Electronics,Paid,N,
2036,17,Platinum,300000,3,24-03-202300:00:00,39529,Electronics,Paid,N,
753,18,,,,,,,,Y,HighDebt
2146,18,,,,,,,,Y,UnstableEmployment
1695,19,,,,,,,,Y,HighDebt
177,20,,,,,,,,Y,LowSalary
493,20,,,,,,,,Y,HighDebt
1182,20,,,,,,,,Y,LowCIBIL
1560,20,,,,,,,,Y,LowCIBIL
1600,20,,,,,,,,Y,HighDebt
1687,20,,,,,,,,Y,HighDebt
1952,20,,,,,,,,Y,UnstableEmployment
357,22,Silver,50000,1,05-05-202300:00:00,20450,Travel,Paid,N,
1591,22,Gold,100000,2,10-03-202300:00:00,12671,Dining,Paid,N,
320,23,Signature,600000,4,17-10-202300:00:00,17958,Groceries,Paid,N,
1640,23,Signature,600000,4,19-09-202300:00:00,48788,Fuel,Paid,N,
592,24,,,,,,,,Y,LowSalary
833,24,,,,,,,,Y,HighDebt
1676,24,,,,,,,,Y,HighDebt
1823,24,,,,,,,,Y,HighDebt
1317,25,,,,,,,,Y,UnstableEmployment
2,26,,,,,,,,Y,HighDebt
1309,26,,,,,,,,Y,HighDebt
247,27,Gold,100000,2,12-12-202300:00:00,19110,Fuel,Paid,N,
557,27,Platinum,300000,3,08-07-202300:00:00,11276,Electronics,Paid,N,
1715,27,Platinum,300000,3,10-11-202300:00:00,14586,Travel,Paid,N,
125,29,Gold,100000,2,14-05-202300:00:00,15049,Travel,Paid,N,
396,30,,,,,,,,Y,LowCIBIL
1531,30,,,,,,,,Y,LowSalary
2122,30,,,,,,,,Y,LowSalary
2163,30,,,,,,,,Y,LowSalary
2259,30,,,,,,,,Y,HighDebt
1844,31,,,,,,,,Y,LowSalary
2193,31,,,,,,,,Y,LowSalary
534,32,,,,,,,,Y,LowCIBIL
994,32,,,,,,,,Y,UnstableEmployment
5,33,Gold,100000,2,30-04-202300:00:00,34432,Fuel,Default,N,
621,33,Gold,100000,2,14-08-202300:00:00,4641,Dining,Paid,N,
691,33,Platinum,300000,3,11-03-202300:00:00,20671,Electronics,Paid,N,
861,34,Signature,600000,4,28-05-202300:00:00,31916,Travel,Paid,N,
1721,34,Signature,600000,4,08-01-202300:00:00,25603,Dining,Paid,N,
